dataset,dataset_label,family,model,class_id,class_label,precision,recall,f1_score,support
cicids2017,CICIDS2017,ML,LightGBM,8,WebAttack,0.0967828418230563,0.8414918414918415,0.1735994229382063,429.0
cicids2017,CICIDS2017,ML,Logistic Regression,0,Benign,0.9994045778800682,0.832641301988805,0.9084330671884615,419297.0
cicids2017,CICIDS2017,ML,Logistic Regression,1,Botnet,0.012109744560075686,0.9820971867007673,0.02392448833369677,391.0
cicids2017,CICIDS2017,ML,Logistic Regression,2,BruteForce,0.4966386554621849,0.9688524590163935,0.6566666666666666,1830.0
cicids2017,CICIDS2017,ML,Logistic Regression,3,DDoS,0.9174499533615555,0.9988282623130101,0.9564111674177684,25603.0
cicids2017,CICIDS2017,ML,Logistic Regression,4,DoS,0.8553602576143835,0.9870967741935484,0.9165189054487948,38750.0
cicids2017,CICIDS2017,ML,Logistic Regression,5,Infiltration,0.0011549249298795578,1.0,0.0023071852340145024,7.0
cicids2017,CICIDS2017,ML,Logistic Regression,6,PortScan,0.7021251887121124,0.9985685972252808,0.8245107620974157,18164.0
cicids2017,CICIDS2017,ML,Logistic Regression,7,Rare_Attack,0.4,1.0,0.5714285714285714,2.0
cicids2017,CICIDS2017,ML,Logistic Regression,8,WebAttack,0.027651268705270005,0.9906759906759907,0.05380087347300462,429.0
cicids2017,CICIDS2017,ML,Random Forest,0,Benign,0.9989986266880293,0.9993012113132219,0.9991498960917874,419297.0
cicids2017,CICIDS2017,ML,Random Forest,1,Botnet,0.8742690058479532,0.7647058823529411,0.8158253751705321,391.0
cicids2017,CICIDS2017,ML,Random Forest,2,BruteForce,0.9994517543859649,0.9961748633879781,0.9978106185002736,1830.0
cicids2017,CICIDS2017,ML,Random Forest,3,DDoS,1.0,0.999882826231301,0.9999414096830264,25603.0
cicids2017,CICIDS2017,ML,Random Forest,4,DoS,0.9978298498979513,0.9967225806451613,0.9972759079231057,38750.0
cicids2017,CICIDS2017,ML,Random Forest,5,Infiltration,1.0,1.0,1.0,7.0
cicids2017,CICIDS2017,ML,Random Forest,6,PortScan,0.9901874310915105,0.9888791015194891,0.9895328338475099,18164.0
cicids2017,CICIDS2017,ML,Random Forest,7,Rare_Attack,1.0,1.0,1.0,2.0
cicids2017,CICIDS2017,ML,Random Forest,8,WebAttack,0.9882903981264637,0.9836829836829837,0.985981308411215,429.0
cicids2017,CICIDS2017,ML,XGBoost,0,Benign,0.9996372843094442,0.9990746416024918,0.999355883763261,419297.0
cicids2017,CICIDS2017,ML,XGBoost,1,Botnet,0.8310249307479224,0.7672634271099744,0.7978723404255319,391.0
cicids2017,CICIDS2017,ML,XGBoost,2,BruteForce,0.9967302452316076,0.9994535519125683,0.9980900409276944,1830.0
cicids2017,CICIDS2017,ML,XGBoost,3,DDoS,0.9998437622060776,0.9998047103855017,0.9998242359144615,25603.0
cicids2017,CICIDS2017,ML,XGBoost,4,DoS,0.9969348856377498,0.9988387096774194,0.9978858896021863,38750.0
cicids2017,CICIDS2017,ML,XGBoost,5,Infiltration,0.4444444444444444,0.5714285714285714,0.5,7.0
cicids2017,CICIDS2017,ML,XGBoost,6,PortScan,0.9899083569714161,0.9990640828011451,0.9944651468654099,18164.0
cicids2017,CICIDS2017,ML,XGBoost,7,Rare_Attack,0.6666666666666666,1.0,0.8,2.0
cicids2017,CICIDS2017,ML,XGBoost,8,WebAttack,0.9237668161434978,0.9603729603729604,0.9417142857142857,429.0
nsl_kdd,NSL-KDD,DL,BiLSTM Attention,0,Benign,0.9949023605991687,0.9418665082782686,0.9676582761250954,13469.0
