dataset,dataset_label,family,model,model_key,experiment,status,source_file,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted,far,roc_auc,pr_auc,min_class_recall,train_seconds,checkpoint,sample_fraction,has_confusion_matrix,notes
nsl_kdd,NSL-KDD,ML,Logistic Regression,LogisticRegression,LogisticRegression,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\nsl_kdd_multi_ml_baselines.json,0.9288747767414169,0.6449302637388612,0.9415912257793434,0.6063928350251888,0.9132043885075734,0.9625774431976312,0.9288747767414169,0.117232162744079,0.9933952215102518,0.7410468188657728,0.8,15.62450650000028,,,True,
nsl_kdd,NSL-KDD,ML,Random Forest,RandomForest,RandomForest,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\nsl_kdd_multi_ml_baselines.json,0.9983726929946418,0.9175823363058939,0.998335534368833,0.9657172609644427,0.8864913635953229,0.998348464950754,0.9983726929946418,0.0003712228079293192,0.9999762902559727,0.9539683166799492,0.5,7.130380399999922,,,True,
nsl_kdd,NSL-KDD,ML,XGBoost,XGBoost,XGBoost,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\nsl_kdd_multi_ml_baselines.json,0.9989283588013494,0.9555608191211009,0.9989269929231083,0.957332944117953,0.9538126353440791,0.9989273241987878,0.9989283588013494,0.000445467369515183,0.9997302650672495,0.9502113268856014,0.8,5.832385199999408,,,True,
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,BiLSTMAttention_Modular,BiLSTMAttention_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_BiLSTMAttention_Modular_results.json,0.6215926356242738,0.3758462354504959,0.684582352296929,0.3785046923397998,0.5641402186655907,0.8080338959430058,0.6215926356242738,0.3334307849729572,0.9324817908901407,0.4041035245924425,0.17784256559766765,53.30122137069702,artifacts/unsw_nb15/multi/BiLSTMAttention_Modular.pt,1.0,True,
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,CNNLSTMHybrid_Modular,CNNLSTMHybrid_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_CNNLSTMHybrid_Modular_results.json,0.6591295021896505,0.425910241494296,0.7142015127696243,0.4241770950406166,0.6195076569683153,0.8378602498697829,0.6591295021896505,0.3188130390293817,0.9526163821643332,0.48446981603448674,0.13994169096209913,29.67862606048584,artifacts/unsw_nb15/multi/CNNLSTMHybrid_Modular.pt,1.0,True,
unsw_nb15,UNSW-NB15,DL,CNN1D,CNN1D_Modular,CNN1D_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_CNN1D_Modular_results.json,0.7387612834033426,0.4620172667477845,0.7708791067835138,0.4398936169510607,0.6159616232221357,0.8371619706058003,0.7387612834033426,0.2176582370998392,0.960342446069042,0.5015835763503819,0.15160349854227406,16.467021226882935,artifacts/unsw_nb15/multi/CNN1D_Modular.pt,1.0,True,
unsw_nb15,UNSW-NB15,DL,MLP,MLP_Modular,MLP_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_MLP_Modular_results.json,0.7887210653320226,0.47589363968433024,0.8145884365821032,0.46070983394560744,0.6318299501764659,0.8577733693043651,0.7887210653320226,0.10963309457681626,0.9650692307057265,0.5125278722604898,0.25072886297376096,15.84550166130066,artifacts/unsw_nb15/multi/MLP_Modular.pt,1.0,True,
unsw_nb15,UNSW-NB15,ML,LightGBM,LightGBM,LightGBM,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_ml_baselines.json,0.8761283403342569,0.5536326035809738,0.881650734957231,0.5742327146182507,0.5470807802691118,0.8877400469145803,0.8761283403342569,0.03479023534570969,0.980100794463677,0.6431935679471067,0.057971014492753624,11.104639600000155,,,True,
unsw_nb15,UNSW-NB15,ML,Logistic Regression,LogisticRegression,LogisticRegression,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_ml_baselines.json,0.6217713826079185,0.37899949687450085,0.6775868721290133,0.372508843930195,0.5865652747002861,0.8024020594991526,0.6217713826079185,0.36018126004970036,0.9328705864745617,0.3999742495338969,0.04956268221574344,11.019051199999012,,,True,
unsw_nb15,UNSW-NB15,ML,Random Forest,RandomForest,RandomForest,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_ml_baselines.json,0.8734471355795871,0.4903976472036171,0.870746595804328,0.5227401068562256,0.47143732219799556,0.8743562003463838,0.8734471355795871,0.01140184183598889,0.9566749103166778,0.5748451939346341,0.0,5.947244099999807,,,True,
unsw_nb15,UNSW-NB15,ML,XGBoost,XGBoost,XGBoost,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\unsw_nb15_multi_ml_baselines.json,0.8797926534989722,0.5525051603426543,0.8773425008255012,0.6211341039082419,0.5246457656800968,0.8783319483332053,0.8797926534989722,0.01432539102470399,0.9816872097171891,0.6507321752100603,0.014492753623188406,31.774989200001073,,,True,
